JRV,PRESJRV
HN.5.1.1.1.3448_DIP,HN.5.1.1.1.3448
HN.5.1.1.1.3449_DIP,HN.5.1.1.1.3449
HN.5.1.1.1.3450_DIP,HN.5.1.1.1.3450
NA,NA
HN.5.1.1.1.3452_DIP,HN.5.1.1.1.3452
NA,NA
HN.5.1.1.1.3454_DIP,HN.5.1.1.1.3454
HN.5.1.1.1.3455_DIP,HN.5.1.1.1.3455
NA,NA
HN.5.1.1.1.3457_DIP,HN.5.1.1.1.3457
NA,NA
HN.5.1.1.1.3459_DIP,HN.5.1.1.1.3459
NA,NA
HN.5.1.1.1.3461_DIP,HN.5.1.1.1.3461
NA,NA
HN.5.1.1.1.3463_DIP,HN.5.1.1.1.3463
HN.5.1.1.1.3464_DIP,HN.5.1.1.1.3464
HN.5.1.1.1.3465_DIP,HN.5.1.1.1.3465
HN.5.1.1.94.3823_DIP,HN.5.1.1.94.3823
HN.5.1.1.94.3824_DIP,HN.5.1.1.94.3824
HN.5.1.1.21.3560_DIP,HN.5.1.1.21.3560
HN.5.1.1.21.3561_DIP,HN.5.1.1.21.3561
HN.5.1.1.21.3562_DIP,HN.5.1.1.21.3562
HN.5.1.1.21.3563_DIP,HN.5.1.1.21.3563
HN.5.1.1.21.3564_DIP,HN.5.1.1.21.3564
HN.5.1.1.21.3565_DIP,HN.5.1.1.21.3565
HN.5.1.1.21.3566_DIP,HN.5.1.1.21.3566
HN.5.1.1.21.3567_DIP,HN.5.1.1.21.3567
HN.5.1.1.21.3568_DIP,HN.5.1.1.21.3568
HN.5.1.1.21.3569_DIP,HN.5.1.1.21.3569
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
HN.5.1.1.311.4730_DIP,HN.5.1.1.311.4730
NA,NA
NA,NA
NA,NA
HN.5.1.1.311.4734_DIP,HN.5.1.1.311.4734
HN.5.1.1.311.4735_DIP,HN.5.1.1.311.4735
HN.5.1.1.73.3772_DIP,HN.5.1.1.73.3772
HN.5.1.1.73.3773_DIP,HN.5.1.1.73.3773
NA,NA
HN.5.1.1.73.3775_DIP,HN.5.1.1.73.3775
NA,NA
NA,NA
HN.5.1.1.73.3778_DIP,HN.5.1.1.73.3778
HN.5.1.1.73.3779_DIP,HN.5.1.1.73.3779
HN.5.1.1.73.3780_DIP,HN.5.1.1.73.3780
HN.5.1.1.73.3781_DIP,HN.5.1.1.73.3781
NA,NA
HN.5.1.1.73.3783_DIP,HN.5.1.1.73.3783
NA,NA
HN.5.1.1.175.4112_DIP,HN.5.1.1.175.4112
HN.5.1.1.175.4113_DIP,HN.5.1.1.175.4113
NA,NA
NA,NA
HN.5.1.1.175.4116_DIP,HN.5.1.1.175.4116
NA,NA
NA,NA
HN.5.1.1.15.3529_DIP,HN.5.1.1.15.3529
HN.5.1.1.15.3530_DIP,HN.5.1.1.15.3530
HN.5.1.1.15.3531_DIP,HN.5.1.1.15.3531
